,Absorption,Emission,smiles
1924,563.9824,664.1177,CN(C)c1ccc(C=Cc2cccnn2)cc1
1686,563.9824,664.1177,O=C(O)C1=CC(=CC=[N+]2c3cc(O)c(CC4OC(CO)C(O)C(O)C4O)cc3CC2C(=O)O)C=C(C(=O)O)N1
1000,563.9824,664.1177,CN(CCO)c1ccc(C=CC2=CC(=C(C#N)C#N)CC(C)(C)C2)cc1
1001,563.9824,664.1177,CCn1c2ccccc2c2cc(C=Cc3cc(C=Cc4ccc5c(c4)c4ccccc4n5CC)ncn3)ccc21
1606,563.9729,649.61835,Cc1cc(O)c(C(C)C)cc1N=Cc1ccc(O)cc1
2004,563.766,666.45715,N#Cc1ccc(N)c(C#N)c1
3011,563.5625,670.5922,CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1
1100,563.30096,651.72754,COC(=O)C(Cc1ccc2oc(-c3ccc(Nc4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C
3855,563.1504,645.91815,COC(=O)c1ccc(C#Cc2cccc(N(C)C)c2)cc1
3447,563.13104,648.878,CN1C2=CC=CC=C3C=CC(=Cc4ccccn4)C(=CN=C31)C=C2
974,562.9585,671.9176,COc1ccc2cc(C(C)C(=O)O)ccc2c1
2514,562.9585,671.9176,O=C1c2ccccc2-c2ccc(N3CCOCC3)c3cccc1c23
3916,562.9585,671.9176,CCCCCCC(CCCCCC)N1C(=O)c2cccc3c(-c4ccc(-c5ccc(OC)cc5)cc4)ccc(c23)C1=O
2889,562.9585,671.9176,C=CCNc1ccc2c(ccc3oc4cc(=[N+](C)C)ccc-4nc32)c1
4387,562.9585,671.9176,COc1ccc(C(=O)c2ccccc2C=C2C=CC=CC(=O)N2C)cc1
2457,562.7982,665.3423,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O
781,562.7982,665.3423,COc1cc(-c2nnc(-c3ccc4ccc5cccc6ccc3c4c56)o2)cc(OC)c1OC
2069,562.7982,665.3423,CN(C)c1ccc2c(c1)Cc1ccccc1-2
3771,562.7294,659.8984,CC=Cc1nc(-c2ccc(C)cc2)oc1C1=CC=C1C1=CCO1
2653,562.7294,659.8984,N#Cc1ccc(N)cc1C#N
3578,562.7294,659.8984,O=Cc1cc(C=O)c2ccc3c(N4CCCCC4)cc(N4CCCCC4)c4ccc1c2c43
3635,562.7294,659.8984,COc1ccc(-c2nnc(-c3ccccc3)o2)cc1OC
2824,562.7294,659.8984,CCOC(=O)C=Cc1ccc(N(C)C)cc1
3970,562.7294,659.8984,CCN(CC)c1ccc(-n2c(C)ccc2C)cc1
2553,562.7294,659.8984,c1ccc(-c2nc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cn3)oc2-c2ccccc2)cc1
2826,562.7294,659.8984,Oc1ccccc1C=Nc1ccc(Cn2cncn2)cc1
2546,562.7294,659.8984,CN1C(=O)C(=Cc2ccncc2)N=C1C=Cc1ccccc1
4049,562.7294,659.8984,Oc1ccccc1
2972,562.7294,659.8984,CCc1ccc(C=Nc2cc(C(C)C)c(O)cc2C)cc1
1282,562.62585,665.8928,Cc1ccc2ccc3c(C)ccc4ccc1c2c43
1027,562.593,665.6266,CN(CC(O)c1cccc(O)c1)c1ccc([N+](=O)[O-])c(C2CC(c3cccc4ccccc34)=NN2c2ccccc2)c1
2057,562.593,665.6266,CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1
1038,562.593,665.6266,COc1ccc2c3c(cccc13)C(=O)c1cccnc1-2
3897,562.593,665.6266,Cc1ccc2c3c(cccc13)C(=O)c1ccccc1-2
2993,562.593,665.6266,CN(C)c1ccc(C=CC=CC=Cc2ccc(N(C)C)cc2)cc1
4078,562.593,665.6266,CC(C)CN(C)Nc1c(-c2cc(=O)c(OCc3ccccc3)co2)nc2ccccn12
1383,562.593,665.6266,CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C#N
1588,562.593,665.6266,COc1ccc(C(=O)C=C2C(=O)Nc3ccccc32)c(OC)c1
1019,562.593,665.6266,CC1(C)CC(C=Cc2ccc(-n3cccn3)cc2)=CC(=C(C#N)C#N)C1
1023,562.593,665.6266,CC[N+]1(CC)CN2C(=N1)C(C(=O)O)=Cc1ccc(OC)cc12
3375,562.593,665.6266,CN(C)CCN(Cc1c2ccccc2cc2ccccc12)c1ccc([N+](=O)[O-])cn1
4170,562.593,665.6266,CC=CC=Cc1ccccc1C(=O)C#Cc1cccc(C)c2cc3c4cc5ccc3n(CC(CC)CCCC)c4cc=2c(C#N)ccc(c1)C=C5
1754,562.5421,664.54584,CCC=C1C=CC(C)=C2OC(=C1c1ccc(OCCC(=O)OCC)c(OC)c1)C1=CC2C1
2136,562.5421,664.54584,C#Cc1cccc2ccccc12
1042,562.5421,664.54584,COC(=O)C(Cc1ccc2oc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)nc2c1)NC(=O)OC(C)(C)C
2360,562.5421,664.54584,c1ccc(-c2nn(-c3ccccn3)c3nc4ccccc4cc23)cc1
3024,562.5421,664.54584,N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3
4768,562.5421,664.54584,COc1ccc2c(c1)nc1c3c4ccc5cc4nc1c2c([nH]5)C=CC=3
2812,562.5421,664.54584,CCN(CC)c1cccc(C=O)c1
1041,562.5421,664.54584,CN(C)C=Nc1ccc2c3c(cccc13)C(=O)c1ccccc1-2
3898,562.5421,664.54584,CC(=O)c1c2c(cc3ccc(N(C)C)cc13)CCC2
2991,562.5421,664.54584,CC=c1cccc2c1=Cc1cc(c3ccc4c5c(ccc1c53)C=C(Oc1cccc3c(C5=C(c6ccccc6)NCCN5C)ccc-3c1)C=C4)=C2
4366,562.5421,664.54584,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C
3189,562.5421,664.54584,CCN(CC)c1ccc2c(c1)oc(=O)c1c(=O)oc3c(OC)cccc3c12
3119,562.53815,659.3292,N#Cc1ccc(C=CC=Cc2ccc([N+](=O)[O-])cc2)cc1
1626,562.53815,659.3292,CN(C)c1ccc(C#Cc2ccc(C#N)cc2)cc1
1665,562.53815,659.3292,c1ccc(-c2nn(-c3ccccc3)c3nc4ccccc4cc23)cc1
1733,562.4896,653.90753,COc1ccc2cc(C#Cc3ccc([N+](=O)[O-])cc3)ccc2c1
2127,562.3877,658.15625,N#Cc1ccc(NN=Cc2ccc3ccccc3c2O)cc1
1014,562.3189,659.2129,N
3748,562.2035,655.83704,CCCCC[n+]1ccc(C=Cc2ccc(N(C)C)c3ccccc23)c2ccccc21
4256,562.2035,655.83704,COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1
850,561.8379,662.67786,O=C1c2cccc3c(-n4c5ccccc5c5ccccc54)ccc(c23)C(=O)N1c1ccccc1
1039,561.6791,659.4076,COC(=O)C(Cc1ccc2oc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)nc2c1)NC(=O)OC(C)(C)C
4166,561.63806,648.8729,Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12
4026,561.54004,662.73267,N#CC(C#N)=C(C=Cc1cn(-c2ccccc2)nc1-c1ccccc1)c1ccccc1
1654,561.54004,662.73267,CC(C)(C)c1ccc2oc3nc4oc5ccc(-n6c7ccccc7c7ccccc76)cc5c4cc3c2c1
3984,561.19,656.7339,CN(C)c1ccc(C#Cc2ccc(C#N)cc2)cc1
3293,561.19,656.7339,CC[N+]1(CC)CN2C(=N1)C(C(=O)O)=Cc1ccc(OC)cc12
1862,561.17065,668.66833,C=C(C)C=CC1=CC(=CC)N(C)C(C=CNC)=CC=C1
1622,561.14923,654.70514,CCN(CC)c1ccc2c(c1)oc(=O)c1c(=O)oc3c(OC)cccc3c12
4235,561.12866,662.33057,N#CC(C#N)=C(C=Cc1ccc(N(c2ccccc2)c2ccccc2)cc1)c1ccccc1
2503,561.11505,665.8387,COc1ccc(C=CC=CC2=NC3C(=O)NC(N)=NC3N2C2CC(O)C(CO)O2)cc1
3153,560.94006,635.4459,c1ccnnc1
4016,560.6152,661.7808,CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccc(C=C(C#N)C#N)cc2)cc1
1149,560.6152,661.7808,COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N
1501,560.6152,661.7808,COc1ccc(C(=Cc2ccc(C=C(C#N)c3ccccc3)cc2)c2ccc(OC)cc2)cc1
4475,560.2473,660.6891,CC=c1oc2cc3[nH]c4c(c3c1c2OC)CCCC4=O
4793,560.20184,659.2099,CN(C)c1ccc2nc(C=Cc3ccccc3)c(=O)oc2c1
1933,559.9281,663.1106,C#Cc1cccc2ccccc12
1497,559.9281,663.1106,CC1(C)Nc2ccccc2-c2[nH]c3ccccc3c(=O)c21
3020,559.8645,661.63403,CC=C1N=C(c2ccc(N(C)C)cc2)C(=O)C2=C1CC=C2
3843,559.8645,661.63403,CN(C)c1ccc(C=CC=C2CCC(=Cc3ccc(N(C)C)cc3)C2=O)cc1
3232,559.8591,662.90674,CN(C)c1ccc(C=CC=NN=Cc2ccc3ccc4cccc5ccc2c3c45)cc1
962,559.8077,664.0278,Nc1ccc2c(c1)C(=O)NC2=O
3573,559.8077,664.0278,CN(C)c1cc(-c2ccc(C#Cc3ccncc3)cc2)cc2ccccc12
1031,559.63635,647.4315,COc1cccc2cc(-c3ccc([N+](=O)[O-])cc3)c(=N)oc12
3842,559.5916,668.99493,Oc1ccccc1C=Nc1ccccc1N=Cc1ccccc1O
1866,559.5916,668.99493,CN(C)c1ccc(C(=Cc2ccc(C#N)cc2)c2ccc(N(C)C)cc2)cc1
3702,559.5916,668.99493,CN(C)c1ccc(C=CC=C2CCC(=CC=Cc3ccc(N(C)C)cc3)C2=O)cc1
